Image of size (x, y) had # non-zero pixels in it. (Out of # total pixels.)
(2, 2)          4 / 4
(2, 4)          8 / 8
(2, 8)          14 / 16
(2, 16)         31 / 32
(2, 64)         121 / 128
(2, 128)                123 / 256
(2, 258)                345 / 516
(2, 512)                685 / 1024
(2, 768)                1030 / 1536
(4, 2)          0 / 8
(4, 4)          2 / 16
(4, 8)          32 / 32
(4, 16)         64 / 64
(4, 64)         71 / 256
(4, 128)                195 / 512
(4, 258)                241 / 1032
(4, 512)                490 / 2048
(4, 768)                741 / 3072
(8, 2)          0 / 16
(8, 4)          32 / 32
(8, 8)          49 / 64
(8, 16)         117 / 128
(8, 64)         0 / 512
(8, 128)                0 / 1024
(8, 258)                14 / 2064
(8, 512)                22 / 4096
(8, 768)                43 / 6144
(16, 2)         32 / 32
(16, 4)         0 / 64
(16, 8)         42 / 128
(16, 16)                232 / 256
(16, 64)                476 / 1024
(16, 128)               488 / 2048
(16, 258)               996 / 4128
(16, 512)               1990 / 8192
(16, 768)               2986 / 12288
(64, 2)         103 / 128
(64, 4)         211 / 256
(64, 8)         424 / 512
(64, 16)                473 / 1024
(64, 64)                13 / 4096
(64, 128)               34 / 8192
(64, 258)               0 / 16512
(64, 512)               0 / 32768
(64, 768)               0 / 49152
(128, 2)                0 / 256
(128, 4)                2 / 512
(128, 8)                12 / 1024
(128, 16)               20 / 2048
(128, 64)               54 / 8192
(128, 128)              0 / 16384
(128, 258)              0 / 33024
(128, 512)              0 / 65536
(128, 768)              0 / 98304
(258, 2)                0 / 516
(258, 4)                2 / 1032
(258, 8)                0 / 2064
(258, 16)               8 / 4128
(258, 64)               0 / 16512
(258, 128)              0 / 33024
(258, 258)              0 / 66564
(258, 512)              0 / 132096
(258, 768)              0 / 198144
(512, 2)                0 / 1024
(512, 4)                8 / 2048
(512, 8)                24 / 4096
(512, 16)               56 / 8192
(512, 64)               0 / 32768
(512, 128)              0 / 65536
(512, 258)              0 / 132096
(512, 512)              0 / 262144
(512, 768)              0 / 393216
(768, 2)                2 / 1536
(768, 4)                12 / 3072
(768, 8)                0 / 6144
(768, 16)               8 / 12288
(768, 64)               0 / 49152
(768, 128)              0 / 98304
(768, 258)              0 / 198144
(768, 512)              0 / 393216
(768, 768)              0 / 589824
Done!
